cust_id,client,contact,when,value
827550,Marco Diallo,marco.diallo@example.com,27.07.2026,"3972,93"
608341,Diego Khan,diego.khan@example.com,17.02.2026,"5213,74"
129056,Mei Torres,mei.torres@example.com,"Jan 5, 2026","1788,25"
548970,Ravi Lindqvist,ravi.lindqvist@example.com,"Mar 19, 2026","7443,42"
845362,Mei Diallo,mei.diallo@example.com,22.07.2026,"4505,97"
114742,Anna Diallo,anna.diallo@example.com,24.08.2026,"2497,40"
593169,Sofia Torres,sofia.torres@example.com,"Mar 14, 2026","1964,71"
0850714,Clara Silva,clara.silva@example.com,23.08.2026,"344,62"
577194,Hugo Petrov,hugo.petrov@example.com,07.02.2026,"357,78"
0609111,Ingrid Fontaine,ingrid.fontaine@example.com,09.05.2026,"3104,20"
580600,Omar Diallo,omar.diallo@example.com,03.05.2026,"6079,32"
0230590,Jonas Moreau,jonas.moreau@example.com,"Dec 17, 2026","4327,87"
834590,Rosa Stone,rosa.stone@example.com,08.03.2026,"2662,09"
713839,"Torres, Ingrid",ingrid.torres@example.com,"Oct 22, 2026","7548,23"
561586,"Silva, Maya",maya.silva@example.com,"Feb 26, 2026","318,33"
878075,"Nair, Clara",clara.nair@example.com,22.01.2026,"2576,39"
573038,Marco Khan,marco.khan@example.com,28.09.2026,"8770,48"
99738,Ingrid Haddad,ingrid.haddad@example.com,"Apr 14, 2026","3538,30"
446305,Sofia Rossi,sofia.rossi@example.com,08.01.2026,"2404,88"
26119,Ravi Lindqvist,ravi.lindqvist@example.com,13.06.2026,"462,20"
424826,Elias Fontaine,elias.fontaine@example.com,"May 9, 2026","9647,25"
156015,Mei Diallo,mei.diallo@example.com,23.03.2026,"4106,51"
641898,"Silva, Clara",clara.silva@example.com,"Jul 23, 2026","3647,02"
474534,Pavel Tanaka,pavel.tanaka@example.com,"May 23, 2026","6527,24"
579089,Mei Costa,mei.costa@example.com,"Dec 4, 2026","7506,34"
620490,Yuki Tanaka,yuki.tanaka@example.com,"Jan 25, 2026","3571,40"
186649,"Iyer, Sofia",sofia.iyer@example.com,03.02.2026,"5800,32"
803874,Omar Alvarez,omar.alvarez@example.com,27.09.2026,"9144,79"
169879,Kenji Iyer,kenji.iyer@example.com,"Feb 28, 2026","2895,83"
0823401,Anna Nair,anna.nair@example.com,12.08.2026,"1288,14"
194157,"Johansson, Pavel",pavel.johansson@example.com,21.12.2026,"8856,63"
192123,"Fontaine, Amara",amara.fontaine@example.com,"Aug 26, 2026","6817,38"
894737,Marco Weber,marco.weber@example.com,26.06.2026,"647,29"
634510,"Petrov, Omar",omar.petrov@example.com,"Jun 9, 2026","4938,36"
423533,Zara McAllister,,"Dec 24, 2026","6205,11"
803221,Marco Petrov,,"Jul 10, 2026","4873,62"
331263,"Okafor, Jonas",jonas.okafor@example.com,"Feb 20, 2026","9977,58"
207303,Maya Petrov,maya.petrov@example.com,"Sep 9, 2026","2499,84"
721170,Yuki Rossi,yuki.rossi@example.com,"Jan 8, 2026","448,76"
0891876,Anna Okafor,anna.okafor@example.com,12.12.2026,"2703,72"
713016,Mei Torres,mei.torres@example.com,"Jul 11, 2026","3633,69"
462035,Hugo Iyer,hugo.iyer@example.com,"Jan 14, 2026","6708,43"
805985,Maya Tanaka,maya.tanaka@example.com,10.06.2026,"7101,34"
216056,Leila Khan,leila.khan@example.com,"Mar 16, 2026","8194,52"
452078,Marco Johansson,marco.johansson@example.com,"Jun 24, 2026","1483,65"
512965,Zara Haddad,zara.haddad@example.com,"Mar 9, 2026","1034,46"
849158,Mei Rossi,mei.rossi@example.com,17.10.2026,"7564,51"
0055611,Maya Okafor,maya.okafor@example.com,"Dec 13, 2026","7769,73"
602199,Amara Chen,amara.chen@example.com,09.11.2026,"6586,57"
181709,Clara Johansson,clara.johansson@example.com,24.03.2026,"7498,97"
179298,Nadia Berg,nadia.berg@example.com,26.01.2026,"4462,41"
362517,Sofia Chen,sofia.chen@example.com,08.08.2026,"9653,00"
646160,Maya Johansson,maya.johansson@example.com,"Feb 19, 2026","5692,31"
0564584,Jonas Tanaka,jonas.tanaka@example.com,11.04.2026,"5735,13"
621913,Kenji McAllister,kenji.mcallister@example.com,"Dec 2, 2026","303,09"
184464,"Torres, Clara",clara.torres@example.com,16.01.2026,"6141,24"
877593,Nadia Iyer,nadia.iyer@example.com,"Jan 25, 2026","4152,35"
75645,Tomas Tanaka,tomas.tanaka@example.com,24.06.2026,"4189,08"
0817452,Pavel Sato,pavel.sato@example.com,"Jul 24, 2026","6433,67"
0840324,Kenji Diallo,kenji.diallo@example.com,"May 17, 2026","9702,87"
0376846,Elias Moreau,elias.moreau@example.com,11.08.2026,"2833,13"
611194,Kenji Khan,kenji.khan@example.com,"Jan 5, 2026","801,93"
283854,Anna Rossi,anna.rossi@example.com,26.02.2026,"9685,91"
502896,"Okafor, Diego",diego.okafor@example.com,12.10.2026,"4237,42"
722654,"Chen, Jonas",jonas.chen@example.com,"Jul 13, 2026","8009,71"
406827,Elias Rossi,elias.rossi@example.com,07.01.2026,"4949,02"
539513,Elias Berg,elias.berg@example.com,"Jan 1, 2026","7447,96"
882429,Jonas Tanaka,jonas.tanaka@example.com,03.04.2026,"1890,63"
384414,Priya Johansson,priya.johansson@example.com,16.06.2026,"4644,81"
883858,Clara Stone,clara.stone@example.com,28.03.2026,"6038,97"
0339173,Tomas Petrov,tomas.petrov@example.com,01.04.2026,"7366,50"
246763,Elias Moreau,elias.moreau@example.com,10.07.2026,"5985,73"
378383,Ingrid Okafor,ingrid.okafor@example.com,01.05.2026,"2683,13"
553360,Ravi Costa,ravi.costa@example.com,19.02.2026,"8606,80"
534040,Ravi Nair,ravi.nair@example.com,10.08.2026,"937,48"
518623,Anna Haddad,anna.haddad@example.com,26.07.2026,"7658,62"
215355,Omar Haddad,omar.haddad@example.com,10.04.2026,"9778,88"
238448,Kenji Chen,kenji.chen@example.com,21.01.2026,"1566,15"
572866,"Johansson, Tomas",tomas.johansson@example.com,11.01.2026,"9743,41"
550773,Marco Alvarez,marco.alvarez@example.com,"Mar 11, 2026","4238,91"
553725,Priya Alvarez,priya.alvarez@example.com,"May 1, 2026","4873,22"
0426030,Marco Silva,marco.silva@example.com,"Mar 18, 2026","5287,29"
682327,Leila McAllister,leila.mcallister@example.com,21.08.2026,"495,06"
173071,"Silva, Hugo",,"Mar 11, 2026","4945,98"
661813,Zara Berg,zara.berg@example.com,23.02.2026,"4881,85"
96057,Nadia Tanaka,,24.08.2026,"1196,04"
27353,Hugo Novak,hugo.novak@example.com,"Jun 15, 2026","6587,15"
445938,Rosa Novak,rosa.novak@example.com,09.05.2026,"4328,09"
713256,Zara McAllister,zara.mcallister@example.com,"Feb 1, 2026","4755,32"
49466,Jonas Tanaka,jonas.tanaka@example.com,14.02.2026,"9508,71"
321424,Pavel Khan,pavel.khan@example.com,"Jan 14, 2026","9320,81"
410996,Hugo Fontaine,hugo.fontaine@example.com,19.10.2026,"1492,12"
0569003,Sofia Rossi,sofia.rossi@example.com,15.05.2026,"4578,27"
0578667,Omar Iyer,omar.iyer@example.com,"Jan 17, 2026","1548,82"
116100,"Petrov, Clara",clara.petrov@example.com,"Jul 9, 2026","2942,07"
0663914,Yuki Fontaine,yuki.fontaine@example.com,"May 4, 2026","6072,89"
16289,Mei Johansson,mei.johansson@example.com,"Jun 24, 2026","5134,12"
481099,Clara Khan,clara.khan@example.com,11.04.2026,"2942,75"
401017,"Weber, Ingrid",ingrid.weber@example.com,"Dec 23, 2026","2884,45"
0270054,Jonas Khan,jonas.khan@example.com,"Sep 9, 2026","3265,79"
0544930,Priya Iyer,priya.iyer@example.com,07.05.2026,"3466,52"
721668,Pavel Tanaka,pavel.tanaka@example.com,"Mar 22, 2026","8036,55"
55112,Leila Costa,leila.costa@example.com,"Jun 27, 2026","6159,13"
330436,Elias Silva,elias.silva@example.com,"Sep 24, 2026","7438,30"
184864,Nadia Johansson,nadia.johansson@example.com,"Aug 8, 2026","6755,58"
605845,Mei Berg,,"Jul 2, 2026","494,95"
412085,Maya Alvarez,maya.alvarez@example.com,13.02.2026,"2125,42"
0435709,Amara Rossi,amara.rossi@example.com,20.07.2026,"4474,40"
126234,Amara Nair,amara.nair@example.com,"Dec 14, 2026","4868,30"
333929,"Okafor, Felix",felix.okafor@example.com,"Dec 17, 2026","5248,81"
217698,Omar McAllister,omar.mcallister@example.com,04.06.2026,"9762,30"
160057,"Sato, Nadia",nadia.sato@example.com,14.05.2026,"161,46"
223432,Elias Moreau,elias.moreau@example.com,"Sep 3, 2026","299,99"
675307,Rosa Moreau,rosa.moreau@example.com,"Nov 10, 2026","6912,39"
0301107,Kenji Haddad,kenji.haddad@example.com,12.08.2026,"1783,36"
416855,Kenji Costa,kenji.costa@example.com,"Mar 8, 2026","3902,81"
817244,Elias Torres,elias.torres@example.com,28.03.2026,"1386,46"
869357,Leila Khan,leila.khan@example.com,"Jun 15, 2026","4042,30"
164422,Zara Costa,zara.costa@example.com,"Mar 6, 2026","8824,69"
0427383,Diego Nair,diego.nair@example.com,08.06.2026,"4373,43"
0150038,Priya Moreau,priya.moreau@example.com,16.02.2026,"980,08"
546247,Sofia Chen,sofia.chen@example.com,03.11.2026,"8560,95"
197386,"Lindqvist, Rosa",rosa.lindqvist@example.com,07.07.2026,"3519,80"
0471811,Kenji Chen,,01.11.2026,"631,38"
259189,"Nair, Yuki",yuki.nair@example.com,"Oct 23, 2026","9692,75"
189309,Ravi Nair,,25.02.2026,"7649,40"
0721003,Elias Haddad,elias.haddad@example.com,24.12.2026,"497,48"
61134,Mei Weber,mei.weber@example.com,28.11.2026,"3118,18"
70750,Jonas Nair,jonas.nair@example.com,02.02.2026,"8505,17"
203480,Tomas Khan,tomas.khan@example.com,16.12.2026,"9506,24"
639142,Ravi McAllister,ravi.mcallister@example.com,"Oct 25, 2026","2488,94"
375198,Kenji Rossi,kenji.rossi@example.com,"Apr 24, 2026","4219,55"
0742433,Tomas Torres,tomas.torres@example.com,"Jun 22, 2026","5622,23"
735416,Tomas Chen,,"Aug 23, 2026","375,71"
717675,Priya McAllister,priya.mcallister@example.com,"Jan 27, 2026","3334,85"
865589,Zara Nair,zara.nair@example.com,11.07.2026,"3470,97"
883601,"Khan, Jonas",jonas.khan@example.com,23.11.2026,"5113,48"
391513,"Alvarez, Maya",maya.alvarez@example.com,06.01.2026,"1050,65"
232216,Elias Rossi,elias.rossi@example.com,"Feb 20, 2026","2757,68"
0878653,Elias Iyer,elias.iyer@example.com,"Apr 10, 2026","4010,69"
0659258,Amara Khan,amara.khan@example.com,"Mar 10, 2026","1527,91"
334125,Nadia Lindqvist,nadia.lindqvist@example.com,"Sep 24, 2026","1210,23"
511944,"Weber, Marco",marco.weber@example.com,25.06.2026,"5279,49"
0877998,Zara Nair,zara.nair@example.com,"Mar 11, 2026","1744,00"
616981,Diego Sato,diego.sato@example.com,"Apr 5, 2026","8880,04"
535212,"Okafor, Felix",felix.okafor@example.com,"Nov 10, 2026","7111,34"
90700,Elias Khan,elias.khan@example.com,14.03.2026,"7246,25"
122109,Mei Lindqvist,mei.lindqvist@example.com,02.12.2026,"931,19"
464341,Ingrid Lindqvist,ingrid.lindqvist@example.com,18.11.2026,"5307,92"
676741,Mei Nair,mei.nair@example.com,"Dec 26, 2026","3285,10"
152973,Diego Silva,diego.silva@example.com,18.02.2026,"6137,34"
0328195,Ravi Khan,ravi.khan@example.com,28.07.2026,"673,29"
637849,Zara Costa,zara.costa@example.com,24.12.2026,"7845,49"
794648,Sofia Torres,sofia.torres@example.com,11.11.2026,"1952,56"
38599,"Tanaka, Elias",elias.tanaka@example.com,18.05.2026,"3365,98"
0550059,Maya Petrov,maya.petrov@example.com,24.05.2026,"5682,41"
0133816,Omar Johansson,omar.johansson@example.com,17.12.2026,"5084,74"
465146,Ravi Torres,ravi.torres@example.com,"Mar 4, 2026","435,93"
528883,Priya Chen,priya.chen@example.com,"Feb 9, 2026","2064,62"
499012,"Alvarez, Hugo",hugo.alvarez@example.com,"Sep 21, 2026","7698,45"
188878,Amara Torres,amara.torres@example.com,"Sep 24, 2026","1032,13"
206097,Pavel Haddad,pavel.haddad@example.com,04.10.2026,"7877,47"
0082971,Omar Diallo,omar.diallo@example.com,"Mar 2, 2026","1540,79"
0735194,Sofia Haddad,sofia.haddad@example.com,22.08.2026,"4602,10"
599787,Mei Johansson,mei.johansson@example.com,"Nov 23, 2026","8836,33"
546304,Leila Tanaka,leila.tanaka@example.com,06.04.2026,"8558,19"
0768804,Mei Fontaine,mei.fontaine@example.com,14.10.2026,"7285,01"
0321359,Rosa Alvarez,rosa.alvarez@example.com,"Jan 2, 2026","4756,80"
489683,Maya Silva,maya.silva@example.com,10.12.2026,"9384,78"
136929,Ingrid Berg,ingrid.berg@example.com,"Oct 3, 2026","7097,96"
533038,Priya Khan,priya.khan@example.com,"Jul 7, 2026","1142,93"
745006,Zara Rossi,zara.rossi@example.com,07.03.2026,"8006,20"
245231,Hugo Okafor,hugo.okafor@example.com,15.09.2026,"3556,38"
497234,Maya McAllister,,"Feb 21, 2026","8844,83"
602375,Zara Haddad,zara.haddad@example.com,"Mar 9, 2026","5294,63"
322299,Felix Haddad,felix.haddad@example.com,19.09.2026,"5976,86"
796883,Sofia Alvarez,sofia.alvarez@example.com,"Jun 12, 2026","4284,94"
842959,Marco Stone,marco.stone@example.com,21.08.2026,"4388,62"
225690,Elias McAllister,elias.mcallister@example.com,"Jul 21, 2026","7542,77"
873049,Amara Johansson,amara.johansson@example.com,"Feb 18, 2026","9212,18"
772209,Elias Haddad,elias.haddad@example.com,19.09.2026,"6701,28"
