ID,Name,Email,Date,Total
726480,Ravi McAllister,ravi.mcallister@example.com,2026-07-02,"$5,691.42"
0684075,Maya Sato,maya.sato@example.com,2026-09-24,"$2,186.08"
0548220,Ravi Haddad,ravi.haddad@example.com,2026-10-19,"$2,504.05"
294907,Anna Novak,anna.novak@example.com,2026-06-19,$962.28
748260,Maya Petrov,maya.petrov@example.com,2026-06-13,"$2,952.62"
596815,Yuki Okafor,yuki.okafor@example.com,2026-01-22,"$9,934.41"
0115486,Priya Fontaine,priya.fontaine@example.com,2026-11-21,"$1,451.44"
273695,Leila Petrov,leila.petrov@example.com,2026-06-21,$688.34
501738,"Silva, Marco",marco.silva@example.com,2026-09-17,"$2,800.81"
163815,Diego Sato,diego.sato@example.com,2026-04-13,"$3,282.26"
156463,"Rossi, Omar",omar.rossi@example.com,2026-07-25,"$9,620.58"
470604,Elias Haddad,,2026-01-17,"$7,431.68"
0595840,"Fontaine, Ravi",ravi.fontaine@example.com,2026-05-21,"$7,497.05"
502568,Sofia Diallo,sofia.diallo@example.com,2026-06-24,"$7,296.00"
696225,Hugo Lindqvist,hugo.lindqvist@example.com,2026-12-26,"$5,342.12"
115658,Maya Khan,maya.khan@example.com,2026-02-04,"$5,890.84"
752121,Amara Sato,,2026-02-21,$229.54
519544,Maya Costa,maya.costa@example.com,2026-09-20,"$7,076.84"
0703651,Ingrid McAllister,ingrid.mcallister@example.com,2026-09-08,$708.79
544173,Sofia Khan,sofia.khan@example.com,2026-01-14,"$2,889.81"
51265,Marco Okafor,marco.okafor@example.com,2026-04-07,"$9,783.74"
638729,Rosa Torres,rosa.torres@example.com,2026-04-09,"$1,994.15"
0864245,Marco Novak,marco.novak@example.com,2026-08-03,"$3,967.20"
448316,Jonas Nair,jonas.nair@example.com,2026-02-05,"$3,267.21"
591439,Zara Khan,zara.khan@example.com,2026-05-27,"$7,004.99"
0095901,Diego Okafor,diego.okafor@example.com,2026-06-01,"$8,156.70"
0659614,Tomas Tanaka,tomas.tanaka@example.com,2026-05-20,"$8,044.65"
812620,Omar Stone,omar.stone@example.com,2026-01-11,"$1,283.92"
0173236,"Diallo, Clara",clara.diallo@example.com,2026-11-07,"$2,423.86"
377284,Ravi Silva,ravi.silva@example.com,2026-09-07,$476.62
193654,Ravi Okafor,ravi.okafor@example.com,2026-09-03,"$9,995.59"
549544,"Chen, Omar",omar.chen@example.com,2026-06-05,"$1,308.57"
227335,Omar Novak,omar.novak@example.com,2026-02-01,"$5,775.71"
270266,Leila Petrov,leila.petrov@example.com,2026-11-07,"$7,565.67"
742806,"Iyer, Maya",maya.iyer@example.com,2026-11-22,"$1,956.67"
219418,Marco McAllister,marco.mcallister@example.com,2026-02-26,"$1,096.81"
0669480,Elias Berg,elias.berg@example.com,2026-06-20,"$3,643.39"
494255,Kenji Sato,kenji.sato@example.com,2026-06-14,"$3,063.53"
407941,Kenji Alvarez,kenji.alvarez@example.com,2026-04-26,"(8,229.74)"
101269,Yuki Haddad,yuki.haddad@example.com,2026-08-27,"$7,681.27"
279702,Clara Novak,clara.novak@example.com,2026-02-02,"$3,646.33"
67269,Leila Novak,leila.novak@example.com,2026-11-27,$133.27
365424,Priya Weber,priya.weber@example.com,2026-03-03,"$4,970.43"
813727,Maya Johansson,maya.johansson@example.com,2026-11-03,"$6,624.08"
840435,Nadia Chen,nadia.chen@example.com,2026-07-14,"$7,779.21"
382826,"Haddad, Anna",anna.haddad@example.com,2026-02-02,"$7,848.12"
603342,Ravi Lindqvist,ravi.lindqvist@example.com,2026-11-14,"$2,533.49"
0536129,Leila Fontaine,leila.fontaine@example.com,2026-12-08,"$6,707.53"
14251,Clara Novak,clara.novak@example.com,2026-02-14,"$8,325.26"
154571,Tomas Chen,tomas.chen@example.com,2026-01-23,$205.74
843992,Zara Novak,zara.novak@example.com,2026-01-20,"$8,648.78"
153522,Yuki Diallo,yuki.diallo@example.com,2026-06-10,"$3,601.38"
215419,Sofia Sato,,2026-12-25,"$9,683.53"
128294,Amara Tanaka,amara.tanaka@example.com,2026-12-28,$507.83
485470,Maya Weber,maya.weber@example.com,2026-10-24,"(1,421.24)"
0356086,"Alvarez, Yuki",yuki.alvarez@example.com,2026-06-07,"(9,797.55)"
0506324,Sofia Costa,sofia.costa@example.com,2026-09-11,$723.92
798237,Clara Moreau,clara.moreau@example.com,2026-06-09,"$3,448.49"
884411,Mei Costa,mei.costa@example.com,2026-07-23,$697.54
540377,Tomas Nair,tomas.nair@example.com,2026-03-11,"(6,758.88)"
784043,Priya Petrov,priya.petrov@example.com,2026-05-28,"$9,210.19"
0373899,Priya Lindqvist,priya.lindqvist@example.com,2026-05-20,"$8,173.20"
27790,Rosa Johansson,rosa.johansson@example.com,2026-06-16,"$9,503.36"
525754,Zara Petrov,zara.petrov@example.com,2026-04-20,"$1,090.28"
186913,Zara Johansson,zara.johansson@example.com,2026-07-07,"$9,724.06"
819219,"Petrov, Mei",mei.petrov@example.com,2026-02-18,"$2,879.57"
403180,"Khan, Kenji",kenji.khan@example.com,2026-02-09,"$8,830.97"
213118,Priya Costa,priya.costa@example.com,2026-08-03,$500.08
616972,Kenji Lindqvist,kenji.lindqvist@example.com,2026-12-09,"(7,099.20)"
217524,"Petrov, Maya",maya.petrov@example.com,2026-02-19,"$9,634.40"
459786,Tomas Diallo,tomas.diallo@example.com,2026-10-17,"$5,620.02"
468036,Zara Sato,zara.sato@example.com,2026-09-23,"$7,991.50"
0781564,Leila Nair,leila.nair@example.com,2026-12-28,"$8,980.89"
220801,Hugo Johansson,hugo.johansson@example.com,2026-03-20,"$8,681.89"
0028547,Omar Khan,omar.khan@example.com,2026-06-25,"$2,243.00"
0063255,Felix Alvarez,,2026-07-17,"$2,712.69"
667232,Nadia Torres,nadia.torres@example.com,2026-12-23,"$9,344.88"
590509,"Lindqvist, Anna",anna.lindqvist@example.com,2026-03-09,"$6,781.10"
142991,"Johansson, Zara",zara.johansson@example.com,2026-11-19,"$8,744.24"
372182,Nadia Alvarez,nadia.alvarez@example.com,2026-09-13,"$9,440.56"
832117,Felix Khan,felix.khan@example.com,2026-04-15,"$5,809.65"
0506353,Tomas Lindqvist,tomas.lindqvist@example.com,2026-12-25,"$2,132.98"
313511,Sofia Torres,sofia.torres@example.com,2026-04-22,(596.86)
784858,Zara Berg,zara.berg@example.com,2026-07-16,$930.49
217528,Ingrid Diallo,ingrid.diallo@example.com,2026-01-14,"$4,805.71"
352185,Zara Weber,,2026-10-06,"$3,934.85"
898623,Omar Rossi,omar.rossi@example.com,2026-08-06,"$8,541.66"
0818796,Ravi Lindqvist,ravi.lindqvist@example.com,2026-04-17,"$5,568.36"
732145,Ravi Moreau,ravi.moreau@example.com,2026-06-14,"$6,412.65"
376003,Clara Novak,clara.novak@example.com,2026-05-12,"$9,622.86"
743091,Clara Lindqvist,clara.lindqvist@example.com,2026-06-26,"$8,008.79"
0405877,Rosa Torres,rosa.torres@example.com,2026-11-11,"$6,322.46"
794181,Zara Rossi,zara.rossi@example.com,2026-06-23,"$9,824.96"
374864,Marco Johansson,marco.johansson@example.com,2026-04-12,"$2,551.02"
290406,Nadia Khan,nadia.khan@example.com,2026-11-07,"$9,836.13"
173146,"Lindqvist, Kenji",kenji.lindqvist@example.com,2026-02-15,"$8,360.71"
465178,Sofia Iyer,,2026-04-01,"$2,357.41"
