id,customer_name,email,date,amount
112093,Sofia Diallo,sofia.diallo@example.com,06/22/2026,2810.79
800646,Rosa Johansson,rosa.johansson@example.com,08/13/2026,9847.1
505266,Ingrid Lindqvist,ingrid.lindqvist@example.com,12/20/2026,6064.98
295693,"McAllister, Priya",priya.mcallister@example.com,03/23/2026,5285.58
561810,Tomas Khan,tomas.khan@example.com,12/07/2026,3470.83
0391335,Mei Diallo,mei.diallo@example.com,01/24/2026,6118.2
348592,Maya Rossi,maya.rossi@example.com,08/21/2026,5308.41
558769,Rosa Moreau,rosa.moreau@example.com,02/14/2026,9961.6
697692,Tomas Diallo,tomas.diallo@example.com,01/04/2026,9984.62
746631,Jonas Sato,jonas.sato@example.com,05/10/2026,2954.41
801449,Ingrid Rossi,ingrid.rossi@example.com,07/21/2026,2642.13
711964,Maya Lindqvist,maya.lindqvist@example.com,02/26/2026,5794.75
394657,Amara Alvarez,amara.alvarez@example.com,11/19/2026,3720.83
615078,Leila Petrov,,05/18/2026,9676.53
196530,Maya Okafor,maya.okafor@example.com,12/08/2026,8764.36
725869,Omar Chen,omar.chen@example.com,07/11/2026,3883.13
703711,Anna Moreau,anna.moreau@example.com,08/02/2026,3513.39
547285,Mei Fontaine,mei.fontaine@example.com,11/22/2026,4479.06
244874,Diego Johansson,diego.johansson@example.com,03/14/2026,8140.37
762515,Pavel Silva,pavel.silva@example.com,11/24/2026,309.02
266038,Ravi Iyer,ravi.iyer@example.com,04/26/2026,6417.7
353716,Omar Moreau,omar.moreau@example.com,09/07/2026,9833.47
41422,Priya Alvarez,,05/07/2026,329.02
675303,Pavel Chen,,06/28/2026,8756.89
775298,Pavel Haddad,pavel.haddad@example.com,12/01/2026,5841.37
893497,Clara Stone,clara.stone@example.com,11/08/2026,9849.2
411776,Kenji Diallo,kenji.diallo@example.com,09/10/2026,2010.66
719094,Pavel Weber,pavel.weber@example.com,04/28/2026,19.42
529121,Marco Costa,marco.costa@example.com,03/25/2026,7576.49
0862473,Ravi Berg,ravi.berg@example.com,10/22/2026,2015.91
