id,customer_name,email,date,amount
145874,Hugo Okafor,hugo.okafor@example.com,02/12/2026,2715.06
0399088,Nadia Lindqvist,nadia.lindqvist@example.com,03/14/2026,7338.55
197091,Pavel Stone,pavel.stone@example.com,10/04/2026,864.09
424373,Sofia Tanaka,sofia.tanaka@example.com,11/26/2026,5053.84
268086,Ingrid Weber,ingrid.weber@example.com,01/12/2026,5849.8
567627,Hugo Nair,hugo.nair@example.com,06/23/2026,3631.44
501464,"Lindqvist, Maya",maya.lindqvist@example.com,01/23/2026,1331.97
683460,"Silva, Leila",leila.silva@example.com,01/22/2026,9587.99
274709,Yuki Petrov,yuki.petrov@example.com,12/26/2026,7097.55
558006,"Moreau, Nadia",nadia.moreau@example.com,07/25/2026,9634.61
533589,Priya Costa,priya.costa@example.com,05/02/2026,3794.59
0561058,Hugo Fontaine,hugo.fontaine@example.com,02/28/2026,2330.46
402382,Zara Okafor,zara.okafor@example.com,05/28/2026,9646.85
136481,Tomas Moreau,tomas.moreau@example.com,11/14/2026,5946.54
303654,Kenji Torres,kenji.torres@example.com,09/14/2026,5590.26
470967,Clara Rossi,clara.rossi@example.com,08/15/2026,1506.87
0768386,Kenji Stone,kenji.stone@example.com,10/04/2026,4501.26
0200690,"Torres, Clara",clara.torres@example.com,10/19/2026,854.6
584534,"Fontaine, Leila",leila.fontaine@example.com,03/15/2026,3297.79
286758,Tomas Costa,tomas.costa@example.com,09/13/2026,1420.83
539327,Elias Novak,elias.novak@example.com,07/15/2026,4348.32
300863,Sofia Silva,sofia.silva@example.com,06/14/2026,307.55
563635,Leila Costa,leila.costa@example.com,12/14/2026,5568.04
318375,Felix Weber,felix.weber@example.com,05/04/2026,770.93
0114782,"Costa, Marco",marco.costa@example.com,01/06/2026,574.01
516798,Ravi Berg,ravi.berg@example.com,11/20/2026,3710.7
356289,Diego Rossi,diego.rossi@example.com,12/02/2026,3749.71
346071,Anna Nair,anna.nair@example.com,09/23/2026,6393.19
459086,Priya Petrov,priya.petrov@example.com,03/26/2026,2077.95
193518,Marco Nair,marco.nair@example.com,02/21/2026,9579.58
170980,Elias Torres,elias.torres@example.com,10/08/2026,565.77
0730724,"Johansson, Omar",omar.johansson@example.com,05/08/2026,5966.94
153306,Rosa Petrov,rosa.petrov@example.com,11/10/2026,890.09
664136,"McAllister, Leila",leila.mcallister@example.com,08/18/2026,5404.25
849016,Clara Rossi,clara.rossi@example.com,09/16/2026,1684.79
168467,Jonas Costa,jonas.costa@example.com,10/15/2026,5777.93
558940,Mei Lindqvist,mei.lindqvist@example.com,05/20/2026,6320.06
853949,Ravi McAllister,,12/12/2026,5594.38
878260,Leila Chen,leila.chen@example.com,11/05/2026,1548.01
0337830,Zara McAllister,zara.mcallister@example.com,10/16/2026,1944.68
62744,"Berg, Hugo",,07/01/2026,9367.71
204185,Clara Iyer,clara.iyer@example.com,01/21/2026,5394.79
321596,"Tanaka, Zara",zara.tanaka@example.com,07/28/2026,4105.61
336754,Ravi McAllister,ravi.mcallister@example.com,02/09/2026,4404.74
0171878,Priya McAllister,priya.mcallister@example.com,04/12/2026,3288.93
