id,customer_name,email,date,amount
0505492,Tomas Iyer,tomas.iyer@example.com,02/14/2026,6647.5
285689,Leila Lindqvist,leila.lindqvist@example.com,01/12/2026,2765.74
0772915,Mei Berg,mei.berg@example.com,12/18/2026,8210.7
627281,Ravi Petrov,ravi.petrov@example.com,06/23/2026,6907.05
0574182,Nadia Weber,nadia.weber@example.com,04/15/2026,6126.62
345214,Maya Rossi,,07/07/2026,878.19
0571361,Rosa Rossi,rosa.rossi@example.com,08/06/2026,3625.97
671689,Omar Weber,omar.weber@example.com,02/05/2026,692.63
589247,Priya Novak,priya.novak@example.com,06/18/2026,9579.14
273263,"Costa, Hugo",,02/18/2026,3056.29
0862221,Elias Stone,elias.stone@example.com,11/25/2026,2677.77
736084,Clara Costa,clara.costa@example.com,02/04/2026,1776.74
742480,Sofia Nair,sofia.nair@example.com,01/03/2026,8563.48
314677,Hugo Haddad,hugo.haddad@example.com,03/27/2026,7856.25
190335,Ravi Sato,ravi.sato@example.com,08/21/2026,3511.15
820654,Omar Khan,omar.khan@example.com,05/07/2026,6665.28
763134,Tomas Alvarez,tomas.alvarez@example.com,11/17/2026,2349.25
296739,Maya Haddad,maya.haddad@example.com,03/12/2026,3014.93
196659,Zara Costa,zara.costa@example.com,05/13/2026,1953.79
697659,Anna Weber,anna.weber@example.com,03/03/2026,3930.76
0354271,"Silva, Zara",zara.silva@example.com,07/21/2026,6369.68
173854,Tomas Petrov,tomas.petrov@example.com,02/14/2026,4761.64
725088,Maya Alvarez,maya.alvarez@example.com,01/14/2026,5011.02
529358,Ravi Costa,ravi.costa@example.com,12/04/2026,6130.76
88428,Priya Weber,,01/01/2026,156.57
582344,"Johansson, Mei",mei.johansson@example.com,12/14/2026,8460.63
383335,Rosa Lindqvist,rosa.lindqvist@example.com,10/01/2026,1453.91
339496,Marco Torres,marco.torres@example.com,03/10/2026,743.54
359883,"Silva, Maya",maya.silva@example.com,04/24/2026,3688.08
701663,Kenji McAllister,kenji.mcallister@example.com,10/03/2026,880.2
306693,Felix Fontaine,felix.fontaine@example.com,02/04/2026,6214.26
149746,Zara Berg,zara.berg@example.com,12/10/2026,3641.25
108727,Pavel Khan,pavel.khan@example.com,07/05/2026,4383.55
257841,Clara Rossi,clara.rossi@example.com,06/27/2026,4762.99
321017,Ingrid Moreau,ingrid.moreau@example.com,03/16/2026,5533.52
528191,Amara McAllister,amara.mcallister@example.com,10/28/2026,691.62
372883,Rosa Novak,rosa.novak@example.com,04/20/2026,1777.17
864799,Mei Torres,mei.torres@example.com,09/17/2026,8111.79
0436767,Hugo Novak,hugo.novak@example.com,03/20/2026,1393.86
845226,Ingrid Johansson,ingrid.johansson@example.com,03/27/2026,510.95
452131,Omar Moreau,omar.moreau@example.com,04/20/2026,9809.52
428071,Leila Diallo,,07/02/2026,4321.68
755348,"Silva, Anna",anna.silva@example.com,04/14/2026,8949.61
394736,Marco Moreau,marco.moreau@example.com,12/26/2026,8430.25
333045,Clara Diallo,clara.diallo@example.com,06/11/2026,65.3
0293543,Nadia McAllister,nadia.mcallister@example.com,11/23/2026,597.51
527656,"Berg, Kenji",kenji.berg@example.com,02/09/2026,983.08
126291,Pavel McAllister,pavel.mcallister@example.com,07/22/2026,3570.33
248469,"Torres, Pavel",pavel.torres@example.com,02/19/2026,5844.4
373828,Tomas Diallo,tomas.diallo@example.com,08/19/2026,9551.96
802413,Yuki Rossi,yuki.rossi@example.com,06/12/2026,3027.64
87480,Omar Sato,omar.sato@example.com,11/23/2026,9184.74
330732,Zara Rossi,,11/03/2026,5254.76
826473,Yuki Sato,yuki.sato@example.com,02/12/2026,1036.72
706850,Mei Berg,mei.berg@example.com,11/09/2026,4293.73
