id,customer_name,email,date,amount
507228,Nadia Costa,nadia.costa@example.com,01/18/2026,5974.88
232230,Priya Okafor,priya.okafor@example.com,04/28/2026,508.58
746558,Clara Chen,clara.chen@example.com,09/09/2026,307.02
749037,Sofia Novak,sofia.novak@example.com,03/24/2026,8156.65
887483,Leila Alvarez,leila.alvarez@example.com,12/26/2026,8139.58
669645,Jonas Moreau,jonas.moreau@example.com,11/20/2026,9637.66
404395,Leila Silva,leila.silva@example.com,05/24/2026,2540.24
0692530,Rosa Okafor,rosa.okafor@example.com,06/24/2026,6498.4
0478552,Priya Johansson,priya.johansson@example.com,01/10/2026,3848.22
0549796,Priya Khan,priya.khan@example.com,09/18/2026,6529.27
0834405,Zara Moreau,zara.moreau@example.com,11/03/2026,9156.68
642055,Kenji Moreau,kenji.moreau@example.com,06/11/2026,2341.66
728992,Sofia Chen,sofia.chen@example.com,10/07/2026,9455.2
10140,Ravi Stone,ravi.stone@example.com,07/26/2026,8384.73
894432,Ravi Weber,ravi.weber@example.com,02/24/2026,9624.43
882630,"Haddad, Amara",amara.haddad@example.com,12/20/2026,1818.36
370023,Anna Chen,anna.chen@example.com,10/22/2026,5703.04
225258,Nadia Tanaka,nadia.tanaka@example.com,09/04/2026,1816.18
115682,"Petrov, Zara",zara.petrov@example.com,05/28/2026,9273.3
443657,"Alvarez, Zara",zara.alvarez@example.com,11/15/2026,497.13
627255,Jonas Tanaka,jonas.tanaka@example.com,04/28/2026,7848.12
32069,Pavel Torres,pavel.torres@example.com,04/01/2026,9514.95
0251353,Diego Diallo,diego.diallo@example.com,09/27/2026,2766.69
149305,Ravi Tanaka,ravi.tanaka@example.com,06/24/2026,9783.56
92979,Hugo Diallo,hugo.diallo@example.com,06/16/2026,2227.54
159587,"Novak, Amara",amara.novak@example.com,07/03/2026,7554.92
252228,Marco Moreau,marco.moreau@example.com,08/05/2026,4473.33
489050,Ravi Rossi,ravi.rossi@example.com,10/04/2026,6646.22
0753375,Mei Alvarez,mei.alvarez@example.com,05/07/2026,4151.51
12433,Amara Weber,amara.weber@example.com,10/04/2026,1657.82
776114,Zara McAllister,zara.mcallister@example.com,01/15/2026,4468.45
556608,Ravi Novak,ravi.novak@example.com,12/19/2026,8944.42
484796,Elias Lindqvist,elias.lindqvist@example.com,07/27/2026,8143.45
440945,"Okafor, Mei",mei.okafor@example.com,06/28/2026,4422.39
701236,Ingrid Sato,ingrid.sato@example.com,12/13/2026,8623.58
832914,Sofia Haddad,sofia.haddad@example.com,03/25/2026,4209.11
622928,Omar Tanaka,,04/09/2026,1365.04
