cust_id,client,contact,when,value
456391,Ingrid Costa,ingrid.costa@example.com,02.10.2026,"1607,00"
728115,"Stone, Sofia",sofia.stone@example.com,15.12.2026,"2674,61"
450891,"Johansson, Omar",,10.03.2026,"3869,32"
679854,Elias Torres,elias.torres@example.com,"Nov 17, 2026","9974,22"
641957,"Diallo, Hugo",hugo.diallo@example.com,"Jan 4, 2026","3785,15"
0099448,Sofia Johansson,sofia.johansson@example.com,05.06.2026,"8050,14"
253872,Ravi Rossi,ravi.rossi@example.com,"Aug 19, 2026","3379,71"
493445,Diego Tanaka,diego.tanaka@example.com,"Oct 17, 2026","9593,72"
11123,"Weber, Elias",elias.weber@example.com,"Feb 10, 2026","4098,26"
0355176,"Weber, Clara",clara.weber@example.com,05.01.2026,"4901,29"
0081539,Sofia Rossi,sofia.rossi@example.com,"Jan 11, 2026","7255,42"
621653,Sofia Sato,sofia.sato@example.com,19.07.2026,"7092,84"
121539,Sofia Stone,sofia.stone@example.com,02.08.2026,"653,89"
567420,Jonas Silva,jonas.silva@example.com,22.02.2026,"5511,06"
0520088,Hugo Rossi,hugo.rossi@example.com,20.11.2026,"8453,61"
745514,"Alvarez, Rosa",rosa.alvarez@example.com,08.11.2026,"2415,36"
103178,Jonas Rossi,jonas.rossi@example.com,18.07.2026,"4799,12"
0493590,Diego Nair,diego.nair@example.com,"Apr 24, 2026","1814,96"
459868,"Costa, Mei",mei.costa@example.com,"Dec 16, 2026","7433,86"
542203,Tomas Fontaine,tomas.fontaine@example.com,18.03.2026,"6727,92"
273134,Diego Johansson,diego.johansson@example.com,10.04.2026,"5246,75"
796642,"Diallo, Priya",,"Jul 11, 2026","7900,63"
136480,Amara McAllister,amara.mcallister@example.com,"Jun 28, 2026","3980,49"
452789,Felix Fontaine,felix.fontaine@example.com,11.04.2026,"6727,11"
0670351,Omar Petrov,omar.petrov@example.com,"Aug 24, 2026","4520,77"
779753,Tomas Petrov,tomas.petrov@example.com,18.06.2026,"1416,26"
233452,Mei Fontaine,mei.fontaine@example.com,"Nov 2, 2026","1915,34"
713707,Yuki Chen,yuki.chen@example.com,26.03.2026,"3301,15"
62371,Ravi Silva,ravi.silva@example.com,"Mar 8, 2026","7367,59"
0671583,Felix Petrov,felix.petrov@example.com,"Jun 20, 2026","2951,11"
186290,Nadia Costa,nadia.costa@example.com,"Dec 20, 2026","4111,96"
735414,Felix Stone,felix.stone@example.com,"May 16, 2026","8556,70"
309458,Rosa Khan,rosa.khan@example.com,"Nov 17, 2026","2958,03"
808164,Sofia Chen,sofia.chen@example.com,13.12.2026,"1701,72"
225859,Ingrid Okafor,ingrid.okafor@example.com,"Jul 12, 2026","5267,02"
0224291,Ravi Nair,ravi.nair@example.com,"Jun 9, 2026","5202,87"
780526,Jonas Chen,jonas.chen@example.com,"Aug 16, 2026","9020,05"
416057,Elias Lindqvist,elias.lindqvist@example.com,12.03.2026,"8002,16"
347077,Felix Petrov,felix.petrov@example.com,"Jan 14, 2026","6830,53"
302789,Rosa Haddad,rosa.haddad@example.com,"Sep 13, 2026","5307,36"
0731881,Hugo Novak,hugo.novak@example.com,"Jul 6, 2026","3953,47"
829435,Marco Diallo,marco.diallo@example.com,16.01.2026,"6161,97"
144181,Ingrid Costa,ingrid.costa@example.com,19.07.2026,"5683,06"
75251,"Moreau, Nadia",nadia.moreau@example.com,"Oct 18, 2026","2417,07"
144881,Nadia Haddad,nadia.haddad@example.com,"Mar 27, 2026","3684,87"
547953,Tomas Berg,tomas.berg@example.com,18.04.2026,"1798,88"
698708,Leila Novak,leila.novak@example.com,15.02.2026,"5658,59"
709323,Maya Haddad,maya.haddad@example.com,"Apr 12, 2026","604,50"
698979,Pavel Iyer,pavel.iyer@example.com,27.08.2026,"9326,72"
186084,Nadia Petrov,nadia.petrov@example.com,24.02.2026,"2779,87"
0220236,Jonas Iyer,jonas.iyer@example.com,25.04.2026,"5184,62"
493504,Elias Weber,elias.weber@example.com,"Feb 26, 2026","3128,93"
0331928,"Khan, Marco",marco.khan@example.com,23.11.2026,"6616,15"
87726,Leila Haddad,leila.haddad@example.com,"Jan 16, 2026","1742,94"
374448,"Chen, Ravi",ravi.chen@example.com,"Jul 1, 2026","9039,40"
441068,Clara Costa,,"Aug 10, 2026","3805,97"
791632,Anna Diallo,anna.diallo@example.com,"Oct 26, 2026","6953,82"
233688,Leila Petrov,leila.petrov@example.com,"Jul 17, 2026","3852,86"
521835,Anna Okafor,anna.okafor@example.com,"Feb 2, 2026","3971,73"
432160,Elias Silva,elias.silva@example.com,07.10.2026,"8214,88"
581858,Ravi Chen,ravi.chen@example.com,25.05.2026,"2541,76"
46673,Rosa Nair,,02.07.2026,"5713,52"
448756,Diego Costa,diego.costa@example.com,01.06.2026,"9881,60"
371070,Maya Petrov,maya.petrov@example.com,"Oct 27, 2026","5273,85"
652028,Amara Silva,amara.silva@example.com,11.01.2026,"9504,26"
758470,Hugo Costa,hugo.costa@example.com,"Dec 12, 2026","7827,53"
0159276,"Nair, Priya",priya.nair@example.com,18.10.2026,"8343,26"
832726,Omar Moreau,omar.moreau@example.com,20.02.2026,"6016,03"
792587,Felix Lindqvist,felix.lindqvist@example.com,01.01.2026,"7450,14"
672906,Leila Khan,leila.khan@example.com,10.01.2026,"1210,93"
310152,Ingrid Nair,ingrid.nair@example.com,26.10.2026,"5962,59"
0185928,Clara Rossi,,12.11.2026,"7950,21"
0088502,Kenji Berg,kenji.berg@example.com,28.07.2026,"3425,35"
791826,Hugo McAllister,,"Dec 22, 2026","6390,89"
0039986,Priya Tanaka,priya.tanaka@example.com,"Nov 28, 2026","8833,79"
96864,"Moreau, Ravi",ravi.moreau@example.com,"Jul 20, 2026","8020,80"
732030,Leila Moreau,leila.moreau@example.com,15.07.2026,"8603,77"
623584,Nadia Stone,nadia.stone@example.com,15.02.2026,"228,49"
0318815,Felix Iyer,felix.iyer@example.com,"Jun 5, 2026","466,49"
637143,Marco Diallo,marco.diallo@example.com,"Mar 5, 2026","517,04"
0014261,Amara Costa,amara.costa@example.com,15.11.2026,"9373,25"
779277,Diego Sato,diego.sato@example.com,24.04.2026,"1717,12"
394459,Yuki Iyer,yuki.iyer@example.com,28.11.2026,"2179,90"
0726045,Anna Torres,anna.torres@example.com,"Jul 17, 2026","1464,41"
793427,Zara Rossi,zara.rossi@example.com,"Feb 9, 2026","5532,28"
0169554,Leila Lindqvist,leila.lindqvist@example.com,"Feb 26, 2026","3399,67"
317073,Tomas Weber,tomas.weber@example.com,18.11.2026,"1923,39"
0639818,Anna Alvarez,anna.alvarez@example.com,"Jul 12, 2026","6571,31"
0236509,Kenji Rossi,kenji.rossi@example.com,25.01.2026,"5254,32"
839076,Kenji Lindqvist,kenji.lindqvist@example.com,"Jan 7, 2026","6529,48"
324084,Hugo Weber,hugo.weber@example.com,26.09.2026,"7211,11"
585611,Hugo Silva,hugo.silva@example.com,07.07.2026,"1157,68"
634299,Nadia Fontaine,nadia.fontaine@example.com,12.08.2026,"7859,04"
0688690,"Costa, Sofia",sofia.costa@example.com,"Oct 18, 2026","6551,91"
0848553,Amara Johansson,amara.johansson@example.com,14.11.2026,"2625,53"
228751,Ravi Novak,ravi.novak@example.com,10.09.2026,"3603,82"
0607520,Sofia Sato,sofia.sato@example.com,17.10.2026,"1610,06"
405696,Mei Novak,mei.novak@example.com,09.02.2026,"8307,86"
863998,Ravi Stone,ravi.stone@example.com,13.05.2026,"7664,55"
666646,Pavel Alvarez,,17.06.2026,"7580,99"
275035,Mei Tanaka,mei.tanaka@example.com,"Apr 11, 2026","2362,27"
524597,Amara McAllister,amara.mcallister@example.com,"Jan 9, 2026","3963,06"
630691,Hugo Weber,hugo.weber@example.com,"Sep 1, 2026","1917,83"
538798,Maya Iyer,maya.iyer@example.com,06.03.2026,"8911,36"
105263,Priya Sato,priya.sato@example.com,24.02.2026,"6633,72"
408577,Ingrid Chen,ingrid.chen@example.com,03.08.2026,"1356,73"
0013597,Omar Johansson,omar.johansson@example.com,03.11.2026,"634,76"
160499,Kenji Alvarez,kenji.alvarez@example.com,"Apr 18, 2026","2917,80"
718626,Leila Okafor,leila.okafor@example.com,11.12.2026,"5515,89"
26297,Amara Torres,amara.torres@example.com,26.08.2026,"8508,86"
506856,Felix Alvarez,felix.alvarez@example.com,"Aug 20, 2026","7910,00"
0788666,Ravi Tanaka,ravi.tanaka@example.com,02.01.2026,"3806,07"
791845,Yuki Nair,yuki.nair@example.com,"Feb 1, 2026","4301,89"
438101,Anna Iyer,anna.iyer@example.com,"Apr 14, 2026","3635,61"
675687,Pavel Haddad,pavel.haddad@example.com,"Jan 25, 2026","8099,00"
66114,Pavel Johansson,pavel.johansson@example.com,28.11.2026,"2524,72"
0401256,"Khan, Maya",maya.khan@example.com,05.09.2026,"6379,47"
607329,Tomas Haddad,tomas.haddad@example.com,17.12.2026,"3184,08"
551456,Maya Moreau,maya.moreau@example.com,10.05.2026,"622,57"
47490,"Moreau, Rosa",rosa.moreau@example.com,"Jun 16, 2026","9430,85"
0094103,"Fontaine, Pavel",pavel.fontaine@example.com,"Jan 20, 2026","4415,16"
709152,Maya Petrov,maya.petrov@example.com,07.09.2026,"4423,08"
0316366,Diego Khan,diego.khan@example.com,"Nov 1, 2026","2301,42"
893492,Tomas Torres,tomas.torres@example.com,"May 10, 2026","9512,74"
898876,Marco Haddad,marco.haddad@example.com,"Jul 3, 2026","5044,50"
834072,Ingrid Lindqvist,ingrid.lindqvist@example.com,"Nov 8, 2026","8836,29"
400175,Rosa Iyer,rosa.iyer@example.com,"Jun 28, 2026","4802,14"
0344522,Tomas Stone,tomas.stone@example.com,"Feb 1, 2026","6939,78"
542117,"Torres, Anna",anna.torres@example.com,"Sep 26, 2026","4511,46"
383658,Felix Silva,felix.silva@example.com,"Jul 25, 2026","8487,99"
0757928,Rosa Iyer,rosa.iyer@example.com,"Oct 21, 2026","9503,42"
492726,Felix Petrov,felix.petrov@example.com,16.04.2026,"7221,34"
145017,Elias Petrov,elias.petrov@example.com,05.05.2026,"8990,43"
